"Name","NumOfPublications"
CAiSE Research Projects Exhibition,26
CAiSE Short Paper Proceedings,102
CAiSE Workshops,453
CAiSE Workshops (2),82
CBCrypto,33
CBD,528
CBDAR,29
CBDAR@ICDAR,20
CBI,164
CBI (1),320
CBI (2),187
CBMI,709
CBMS,3151
CBRecSys@RecSys,31
CBS,335
CBSE,288
CC,670
CCA,2344
CCBD,158
CCBR,760
CCC,995
CCCG,1625
CCCI,132
CCCV (1),110
CCCV (2),96
CCE,1353
CCEAI,131
CCECE,3632
CCGIDIS,14
CCGRID,2164
CCGrid,390
CCHI,242
CCIA,816
CCIOT,88
CCIR,97
CCIS,1261
CCIW,145
CCKS,150
CCKS (Evaluation Track),44
CCL,383
CCMB,51
CCMT,54
CCNC,4705
CCP,55
CCPR (1),112
CCPR (2),124
CCRIS,161
CCS,3169
CCSW,184
CCTA,1944
CCTA (1),460
CCTA (2),468
CCTA (3),228
CCTA (4),90
CCWC,1416
CD-ARES,130
CD-MAKE,174
CD@KDD,32
CDB,45
CDC,23917
CDC/ECC,2764
CDES,214
CDMA International Conference,53
CDMRI/MMBC@MICCAI,23
CDMRI@MICCAI,46
CDS,111
CDSSK,15
CDVE,803
CE,698
CEA@ACM Multimedia,35
CEA@ICMR,12
CEA@IJCAI,20
CEA@ISMR,9
CEAS,161
CEC,4540
CEC/EEE,253
CECC,62
CECNet,271
CEE-SET,66
CEEC,171
CEEMAS,271
CEEeGov,63
CEFP,80
CEIG,242
CELDA,185
CENTERIS (1),89
CENTERIS (2),90
CENTERIS/ProjMAN/HCist,1115
CEP,79
CERC,74
CERCIRAS,12
CERI,43
CESI@ICSE,53
CEV,34
CEx@AI*IA,7
CF,334
CFA@UAI,8
CFI,171
CFIP/NOTERE (Sélection),8
CFP,125
CG,16
CGAMES,172
CGC,218
CGGA,23
CGI,347
CGI (1),40
CGI (3),40
CGI (4),32
CGIV,949
CGIV/MCS,220
CGO,654
CGVC,104
CGVR,137
CGW/GIGA@IJCAI,13
CGW@IJCAI,45
CHAI@KI,20
CHANGEE/WAPLA/HybridEd@EC-TEL,10
CHANTS@MOBICOM,54
CHANTS@MobiCom,116
CHARME,213
CHASE,503
CHASE@ICSE,224
CHDD,10
CHEOPS@EuroSys,24
CHES,627
CHI,11480
CHI Conference Companion,525
CHI Extended Abstracts,10968
CHI Greece,62
CHI PLAY,616
CHI PLAY (Companion),413
CHIIR,596
CHIL,112
CHIMIT,57
CHINACOM,416
CHINZ,231
CHIRA,195
CHIRA (Revised Selected Papers),35
CHIWORK,54
CHItaly,262
CHIuXiD,76
CHPC,20
CHR,140
CI,29
CI4PM/PAI@WCCI,9
CIA,288
CIAA,678
CIAC,372
